[13:48:10:432] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[14:11:26:092] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[14:37:52:012] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[14:51:17:694] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[15:37:13:735] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[15:43:22:659] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[15:44:55:370] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[15:53:43:505] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[16:00:15:574] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[16:06:34:719] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[16:10:01:319] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[16:21:30:562] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[16:30:03:799] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[16:34:30:442] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[16:42:18:659] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[16:46:38:946] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[16:48:39:353] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
[16:54:39:762] [WARN] - org.springframework.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration.logWarning(RedisStarterDeprecationWarningAutoConfiguration.java:43) - spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
